"id","name","labelCode","location","subLocation","notes","colorTag","photoFileName","aliases","createdAt","updatedAt","isArchived"
"CCB81AC8-02E9-4540-98F1-0DB254666E0B","Christmas Tree Decor","HD-001","Attic","North Wall Rack","Main tree ornaments and lighting for the living room setup.","green","CCB81AC8-02E9-4540-98F1-0DB254666E0B-hd-001-christmas-tree-decor.jpg","Holiday Tree|Christmas Bin","2025-01-05T18:00:00Z","2025-01-29T18:00:00Z","false"
"881CEBDD-B799-4792-8051-34EF47F0ADD6","Halloween Porch Decor","HD-002","Garage","Top Shelf","Porch and entry decorations for trick-or-treat night.","amber","881CEBDD-B799-4792-8051-34EF47F0ADD6-hd-002-halloween-porch-decor.jpg","Halloween Tote|Spooky Porch Bin","2025-01-14T18:00:00Z","2025-02-07T18:00:00Z","false"
"B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Easter & Spring Decor","HD-003","Hall Closet","Upper Cubby","Seasonal table decor, eggs, and spring brunch accents.","coral","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E-hd-003-easter-and-spring-decor.jpg","Spring Decor|Easter Bin","2025-01-23T18:00:00Z","2025-02-16T18:00:00Z","false"
"C055A9E5-9A27-4A34-B612-C1409A32BC9E","Fall Harvest Decor","HD-004","Basement","Seasonal Rack","Neutral fall decor for mantel, table, and front entry.","amber","C055A9E5-9A27-4A34-B612-C1409A32BC9E-hd-004-fall-harvest-decor.jpg","Autumn Tote|Harvest Bin","2025-02-01T18:00:00Z","2025-02-25T18:00:00Z","false"
"9FA97E22-9524-4073-AA7E-E503CD895A56","Valentine Craft Box","HD-005","Office Closet","Craft Shelf","Cards, classroom exchange extras, and heart-themed decorations.","coral","9FA97E22-9524-4073-AA7E-E503CD895A56-hd-005-valentine-craft-box.jpg","Valentine Box|Heart Crafts","2025-02-10T18:00:00Z","2025-03-06T18:00:00Z","false"
"022703AD-B090-4D3E-9C08-C5F411B5029B","Birthday Party Supplies","PT-006","Garage","Party Shelf","Reusable supplies for family birthdays and backyard celebrations.","blue","022703AD-B090-4D3E-9C08-C5F411B5029B-pt-006-birthday-party-supplies.jpg","Party Box|Birthday Bin","2025-02-19T18:00:00Z","2025-03-15T17:00:00Z","false"
"37897616-6169-4612-8D59-162777EC3E11","Kids Building Toys","KT-007","Playroom","Cube Shelf 2","Loose construction toys and build accessories kept together for rainy days.","blue","37897616-6169-4612-8D59-162777EC3E11-kt-007-kids-building-toys.jpg","Building Bin|Block Tote","2025-02-28T18:00:00Z","2025-03-24T17:00:00Z","false"
"99123417-4064-448A-86C7-3CA99FFEEE8A","Kids Art Supplies","KT-008","Playroom","Craft Cart Bottom","Everyday art materials for after-school projects and weekend crafts.","coral","99123417-4064-448A-86C7-3CA99FFEEE8A-kt-008-kids-art-supplies.jpg","Art Bin|Craft Tote","2025-03-09T17:00:00Z","2025-04-02T17:00:00Z","false"
"AA14BD17-C8F0-424C-BD2E-2736CDBB261D","Family Board Games","KT-009","Family Room","Cabinet Lower Shelf","Card games and compact board games stored together for easy weekend access.","slate","AA14BD17-C8F0-424C-BD2E-2736CDBB261D-kt-009-family-board-games.jpg","Game Crate|Board Game Bin","2025-03-18T17:00:00Z","2025-04-11T17:00:00Z","false"
"83B11F3B-AAEB-4BEA-9462-BDCFE974691A","Camping Gear Bin","HB-010","Garage","Back Wall Shelf","Camp kitchen and campsite setup items that get packed into the car first.","green","83B11F3B-AAEB-4BEA-9462-BDCFE974691A-hb-010-camping-gear-bin.jpg","Camp Bin|Camp Kitchen Tote","2025-03-27T17:00:00Z","2025-04-20T17:00:00Z","false"
"0B0EE8F2-84E2-4F1C-B57A-5117391D91E7","Beach Day Tote","HB-011","Mudroom","Bench Storage","Grab-and-go beach and pool-day supplies for summer weekends.","blue","0B0EE8F2-84E2-4F1C-B57A-5117391D91E7-hb-011-beach-day-tote.jpg","Beach Tote|Summer Beach Bag","2025-04-05T17:00:00Z","2025-04-29T17:00:00Z","false"
"32339427-92D4-42E8-AE1A-BC0784DAE93C","Cables & Chargers","HB-012","Office Closet","Plastic Drawer 3","Spare everyday cables sorted for quick tech replacement.","slate","32339427-92D4-42E8-AE1A-BC0784DAE93C-hb-012-cables-and-chargers.jpg","Cable Bin|Chargers Drawer","2025-04-14T17:00:00Z","2025-05-08T17:00:00Z","false"
"414A170C-EB9E-4712-B3FC-81342688311F","Power Tool Accessories","HB-013","Garage","Workbench Cabinet","Accessories and consumables for the drill, driver, and circular saw.","amber","414A170C-EB9E-4712-B3FC-81342688311F-hb-013-power-tool-accessories.jpg","Tool Case|Drill Accessories","2025-04-23T17:00:00Z","2025-05-17T17:00:00Z","false"
"22C0E21A-A8E2-40E7-8042-D02671C99177","Painting Supplies Tote","HB-014","Laundry Room","Upper Shelf","Touch-up painting and small weekend project supplies.","coral","22C0E21A-A8E2-40E7-8042-D02671C99177-hb-014-painting-supplies-tote.jpg","Paint Tote|DIY Paint Bin","2025-05-02T17:00:00Z","2025-05-26T17:00:00Z","false"
"1609B0D8-094E-44F7-BB21-50C30B7B1739","Sewing & Mending Box","HB-015","Guest Room Closet","Fabric Bin Stack","Basic mending tools, spare notions, and quick fix supplies.","slate","1609B0D8-094E-44F7-BB21-50C30B7B1739-hb-015-sewing-and-mending-box.jpg","Sewing Box|Mending Kit","2025-05-11T17:00:00Z","2025-06-04T17:00:00Z","false"
"5A784548-33EE-462A-90C0-AD7CBEB9BCA3","Garden Supplies Bin","HB-016","Garage","Side Door Rack","Small gardening tools and seasonal planting supplies.","green","5A784548-33EE-462A-90C0-AD7CBEB9BCA3-hb-016-garden-supplies-bin.jpg","Garden Bin|Planting Tote","2025-05-20T17:00:00Z","2025-06-13T17:00:00Z","false"
"33526A3A-B569-42D7-879C-AC2A6786230D","Pet Care Supplies","HB-017","Laundry Room","Cabinet Floor","Backup grooming and travel supplies for the dog and cat.","blue","33526A3A-B569-42D7-879C-AC2A6786230D-hb-017-pet-care-supplies.jpg","Pet Bin|Dog & Cat Supplies","2025-05-29T17:00:00Z","2025-06-22T17:00:00Z","false"
"7E1C26D0-CF49-47DA-8237-545C7C3C59B8","Winter Accessories Tote","HB-018","Coat Closet","Upper Shelf","Cold-weather extras that don't fit on the main hook rail.","slate","7E1C26D0-CF49-47DA-8237-545C7C3C59B8-hb-018-winter-accessories-tote.jpg","Winter Tote|Snow Gear Bin","2025-06-07T17:00:00Z","2025-07-01T17:00:00Z","false"
"7CF59A01-888E-4D7D-B1F2-4D7242AB801C","Baby Keepsakes Box","HB-019","Primary Closet","Top Shelf","Special keepsakes and favorite early baby items.","coral","7CF59A01-888E-4D7D-B1F2-4D7242AB801C-hb-019-baby-keepsakes-box.jpg","Keepsake Box|Baby Memory Box","2025-06-16T17:00:00Z","2025-07-10T17:00:00Z","false"
